id;Factor_1;Factor_2;Factor_3;Factor_4;Factor_5;Factor_6;Factor_7;Factor_8;Factor_9;Factor_10;Factor_11;Factor_12
103;0;0;0;0;214000;0;0;0;0,9;-1;0;0
104;0;0;0;0;7000;0;1;0;1,333333;5;0;0
105;1;0;0;0;49500;0;1;0;0,55;-9;0;0
106;0;0;0;0,428571;45000;0;0;0;1,25;2;0;0
107;0;0;0;0;164290;0;0;1;2,2;6;0;0
108;0;0;0;0;151100;0;0;0;3,333333;14;0;0
109;0;0;0,002478;0,095238;792580;0;0;0;4;15;0;0
110;1;0;0;0;404249;0;0;0;1,666667;8;0;0
111;1;0;0;0;22000;0;0;0;1;0;0;0
112;1;0;0;0,125;344759;0;0;0;1,444444;4;0;0
113;0;0;0,042857;0;14000;1;0;0;1,111111;2;0;0
114;0;0;0;0;7000;0;0;0;1;0;0;0
115;0;0;6,145857;0,666667;7000;0;0;0;2,4;7;0;0
116;0;0;0;0;443049;0;0;0;1;0;0;0
117;0;0;0,045661;0,214286;400360;0;0;0;1,272727;3;0;0
118;1;1;0,106506;0,142857;235000;0;0;0;0,25;-15;0;0
119;1;0;0;0;503000;0;0;1;0,666667;-5;0;0
120;0;7;0,890875;0,708333;189609;3;0;1;1;0;7;0
121;2;5;0,115909;0,75;835115;2;0;1;1;0;0;0
122;1;2;0,079938;1;354149;1;0;1;1;0;1;0
123;1;3;1,452133;0,6;15000;1;0;0;4;15;0;0
124;0;0;0,00001;0;102000;0;0;0;1;0;0;0
125;0;0;0,000129;0,285714;520900;1;0;0;1;0;0;0
126;0;0;0,061502;0;61494;0;0;1;1,6;3;0;0
127;0;0;0;0;126000;0;0;0;0,357143;-9;0;0
128;0;0;0;0;406680;0;0;1;1;0;0;1
129;0;0;0;0;2212549;-1;0;0;0,4;-12;0;0
130;0;0;0;0;120954;0;0;0;1,4;4;0;0
131;1;0;0;0;10000;0;0;0;1,058824;1;0;0
132;0;0;0;0;48098;0;0;1;4;15;0;0
133;0;0;-1;0;0;0;0;0;0,818182;-2;0;0
134;0;0;0;0;321326;0;0;1;1,285714;2;0;0
135;0;0;0;0,2;773145;0;0;0;1,333333;5;0;0
136;0;0;0;0;144381;0;0;0;1;0;0;0
137;0;2;0,159851;0,095238;87100;1;1;0;0,5;-5;0;0
138;0;0;0;0,157895;339168;1;0;0;0,5;-5;0;0
139;0;0;0;0,24;345880;0;0;1;1;0;0;0
140;0;0;0;0;198000;0;0;0;1,142857;1;0;0
141;0;0;0;0;430920;0;0;1;1;0;0;0
142;0;0;-1;0;0;0;0;0;1,142857;1;0;0
143;0;0;0;0;339300;0;0;1;1;0;0;0
144;0;0;0;0;7000;0;1;0;2;5;0;0
145;0;0;0;0;206992;0;0;0;1,666667;8;0;0
146;0;0;0;0;480800;0;0;0;0,454545;-6;0;0
147;0;0;0;0;13000;0;0;0;2,222222;11;0;0
148;0;0;0;0;136000;0;0;0;1,176471;3;0;0
149;1;0;0;0;335770;0;0;0;1,25;2;0;0
150;0;0;0;0;116620;0;1;0;1;0;0;0
151;0;0;0;0;977000;0;0;1;0,555556;-4;0;0
152;0;0;0,014322;0,2;560754;0;0;1;1;0;0;0
153;0;0;0;0;797404;0;0;0;1,4;2;0;0
154;1;-1;0;0,0625;101000;-1;0;1;0,714286;-4;0;0
155;1;0;0;0;565698;0;0;0;1;0;0;0
156;1;0;0;0,111111;264580;0;0;1;1,428571;6;0;0
157;0;0;0;0;10171;0;0;0;1,818182;9;0;0
158;1;0;0;0;318000;0;0;1;2;5;0;0
159;0;0;0;0;107000;0;0;0;1;0;0;0
160;0;0;0;0,125;35500;-1;0;0;1;0;0;0
161;0;0;0;0,181818;1413988;0;0;0;1;0;0;0
162;0;0;0;0;276120;0;0;0;1;0;0;0
163;0;0;0,023884;0,0625;331691;0;0;0;1,444444;4;0;0
164;0;1;0,054545;0,142857;264000;1;1;0;1;0;0;0
165;0;0;0;0;12000;0;1;0;4;15;0;0
166;0;0;0;0;4000;0;0;0;1;0;0;0
167;0;0;0;9;10000;0;0;1;1;0;0;0
168;0;0;0;0;2000;0;2;0;0,5;-10;0;0
169;1;1;0,036918;0,071429;390050;1;0;0;1;0;0;0
170;0;0;0,009907;0,181818;617030;0;0;1;1,071429;1;0;0
171;1;0;0,144677;2;36336;0;0;0;2;10;0;0
172;0;0;0;0;383117;0;0;0;1,333333;5;0;0
173;0;0;0;0;19000;0;0;0;2;5;0;0
174;0;0;0;0;1226932;0;0;0;1;0;0;0
175;0;0;0,007876;2;327460;0;0;0;1,3;3;0;0
176;0;0;-1;-1;0;0;0;0;1,428571;6;0;0
177;0;0;0,00311;0,4;590083;1;0;0;1;0;0;0
178;1;4;0,269978;0,384615;114087;1;0;1;1,4;2;0;0
179;0;0;0;0;854000;0;0;0;4;15;0;0
180;1;0;0,002913;1,090909;547803;-1;0;0;1,428571;6;0;0
181;1;0;0;0;11500;0;0;0;1,333333;4;0;0
182;0;0;0;0;5645000;0;0;0;2,857143;13;0;0
183;0;0;0;0;457283;0;0;0;1;0;0;0
184;0;0;0;0;403000;0;0;0;1;0;0;0
185;1;4;-1;1,5;0;1;0;1;4;15;0;0
186;0;12;0;0,47619;365000;0;0;0;1;0;3;0
187;0;0;0;0;44500;0;0;0;1,272727;3;0;0
188;0;0;0,001369;0;1504112;0;0;0;1,666667;8;0;0
189;1;0;0,032292;0,2;243342;0;0;0;0,818182;-2;0;0
190;0;0;0;0;44000;0;0;0;0,625;-3;0;0
191;0;0;0;0,142857;244500;0;0;0;2,333333;8;0;1
192;0;0;0;0;119500;0;0;0;1,111111;2;0;0
193;0;0;0;0;167000;0;0;0;4;15;0;0
194;0;-1;0;0;89000;-1;0;1;1,333333;5;0;0
195;0;0;0;0;457587;0;0;0;2;10;0;0
196;0;0;0;0;348100;0;0;0;2;10;0;0
197;0;0;0;0;20000;0;0;1;1,083333;1;0;0
198;0;-2;0;0;91616;0;0;1;0,7;-3;0;0
199;1;0;0,0578;0,041667;412632;0;0;0;4;15;0;0
200;0;1;0,431667;0,529412;162000;1;0;1;1;0;0;0
201;0;0;0;0;111990;0;0;1;1;0;0;0
202;0;0;0;0;42000;0;0;1;1;0;0;0
203;0;0;0;0;77392;0;0;0;1;0;0;0
204;0;0;0;0;5024907;0;0;1;1;0;0;0
205;0;0;0;0;39000;0;0;1;1,428571;6;0;0
206;2;1;0;1;26000;1;1;1;1;0;0;0
207;0;0;-1;0;0;0;5;1;1;0;0;0
208;1;0;-1;-1;0;0;0;1;1;0;0;0
209;0;0;0;0;10000;0;0;0;4;15;0;0
210;0;0;0;0;485995;0;0;0;1;0;0;0
211;0;0;0;0;149400;0;0;0;1,714286;5;0;0
212;0;0;0,000941;0;1062320;0;0;0;2,857143;13;0;0
213;1;0;-1;1,1;0;0;0;1;2,8;9;0;0
214;0;0;0;0,083333;54181;0;0;0;0,388889;-11;0;0
215;0;0;0,000061;0,166667;445504;0;0;0;4;15;0;0
216;1;0;0;0;47789;0;0;0;1;0;0;0
217;0;0;0;0;130000;0;1;0;0,533333;-7;0;0
218;0;0;-1;0;0;0;0;1;0,666667;-4;0;0
219;0;0;0;0;6200;0;0;0;2,8;9;0;0
220;1;2;0,130543;0,5;53622;0;0;0;1;0;0;0
221;0;1;0,10714;0,375;148647;1;0;1;2;10;0;0
222;0;0;0;0;60600;0;0;0;1;0;0;0
223;0;0;0;0;5000;0;0;1;2,5;12;0;0
224;0;0;0;0;227011;-1;0;0;0,818182;-2;0;0
225;0;0;0;0;2266938;0;0;0;1;0;0;0
226;0;0;0,006239;0;400690;0;0;0;1,428571;6;0;0
227;0;0;0;1;83328;0;0;0;1,538462;7;0;0
228;0;-1;0;0,028571;709933;0;0;1;1;0;0;0
229;0;0;0;0,25;491000;0;0;0;1,416667;5;0;0
230;1;1;0,054759;0,25;353000;0;0;0;1,1875;3;0;0
231;2;0;0;0,111111;101624;0;0;1;1,071429;1;0;0
232;0;0;0;0;487800;0;0;0;1,4;2;0;0
233;1;1;0,110444;0,333333;9000;0;0;0;0,882353;-2;0;0
234;1;0;0,018966;0,066667;803280;0;0;0;0,714286;-4;0;0
235;0;0;0;0;153000;0;0;0;1;0;0;0
236;0;0;-1;0;0;0;0;0;1;0;0;0
237;1;0;0;0,181818;106200;1;0;0;1;0;0;0
238;0;0;-1;0;0;0;0;1;1;0;0;0
239;1;2;0;0,75;83882;-4;0;0;3,333333;14;1;0
240;0;0;0;0;27490;0;0;0;2;9;0;0
241;0;0;0;0,166667;53604;0;0;0;1,5;5;0;0
242;0;0;0;0,105263;514598;0;0;0;1;0;0;0
243;1;0;0,490167;0;36000;0;0;0;1;0;0;0
244;1;0;0;0;35000;0;0;0;1;0;0;0
245;0;0;0,006519;0;252051;0;0;0;1;0;0;0
246;0;0;0;0;83172;0;0;0;1,666667;8;0;0
247;0;0;0;0;105000;0;0;0;1,052632;1;0;0
248;1;0;0;0;14000;0;0;1;1,444444;4;0;0
249;0;0;0;0;126000;0;0;0;1;0;0;0
250;0;0;0;0;90500;0;1;0;1;0;0;0
251;1;0;0,015273;0,444444;913879;0;0;0;2,222222;11;0;0
252;0;0;0,019125;0,25;353983;0;0;0;2;5;0;0
253;1;0;0;0;809000;0;0;0;1,6;6;0;0
254;0;0;-1;0;0;0;0;0;4;15;0;0
255;0;0;0;0;267082;0;0;1;1;0;0;0
256;0;1;0,012208;0,035714;919854;0;0;0;0,625;-3;0;0
257;1;1;0,091954;0,0625;43500;0;0;0;1;0;0;0
258;0;0;0;0;58000;0;0;0;2;10;0;0
259;0;0;0;0;1339854;0;0;1;1;0;0;0
260;0;0;0;0;285780;0;0;1;1;0;0;0
261;0;7;0,213313;0,823529;467300;1;0;0;1,333333;4;0;0
262;0;0;0,001011;0;989405;-1;0;0;0,75;-5;0;0
263;0;0;0,006334;0,857143;471094;0;0;0;1,111111;2;0;0
264;0;0;0;0;567663;0;0;0;1;0;0;0
265;0;0;-1;0;0;0;0;0;1;0;0;0
266;0;0;0;0;1029220;0;0;0;0,3;-14;0;0
267;0;0;0;0;94858;0;0;0;0,25;-15;0;0
268;0;0;0;0;2000;0;2;0;0,263158;-14;0;0
269;0;0;-1;0;0;0;1;1;2;5;0;0
270;0;0;0,007803;0,190476;756776;0;0;0;1;0;0;0
271;1;1;1,24325;0,666667;8000;0;0;0;1;0;0;0
272;0;1;0,003993;0,210526;976000;-1;0;0;1;0;0;0
273;0;0;0,092593;0;108000;0;0;1;1,428571;6;0;0
274;1;1;0;0,4;124896;-1;0;1;1,142857;2;0;0
275;1;0;0;0;395960;0;0;1;2,1;11;0;1
276;0;0;0,016066;0,047619;79920;0;0;0;1,538462;7;0;0
277;0;0;0,000001;0,05;697441;0;0;0;0,85;-3;0;0
278;0;0;0;0,058824;190500;0;0;0;1,75;6;0;0
279;0;0;0;0;10000;0;0;1;1;0;0;0
280;1;0;0,061321;0,571429;146786;0;0;1;2;10;0;0
281;0;0;0;0;83951;0;0;0;2;6;0;1
282;1;0;0;0,03125;74000;0;0;0;0,526316;-9;0;0
283;0;0;0;0;324600;0;0;1;4;15;0;0
284;2;0;0;0;74000;0;0;1;1;0;0;0
285;0;0;0;-1;33000;0;0;1;2;7;0;0
286;1;1;0,260717;1,4;106000;0;0;0;0,5;-10;0;0
287;0;0;0;0;5000;0;0;0;1,111111;2;0;0
288;1;3;0,335735;0,846154;156156;0;0;1;1;0;0;0
289;1;0;0;0;318135;0;0;1;1,333333;5;0;0
290;0;0;0;0;355222;0;0;0;3;10;0;0
291;0;1;0,078529;0,055556;238000;1;0;0;1,052632;1;0;0
292;0;0;0;0,142857;304000;0;0;1;0,666667;-5;0;0
293;0;0;0;0;9000;0;0;1;1,375;3;0;0
294;0;0;0;0;2000;0;0;0;2;7;0;0
295;0;0;0;0;110485;0;0;1;4;15;0;0
296;1;0;0,046514;0,625;174099;0;0;0;1,181818;2;0;0
297;0;0;0;0;508395;0;0;1;1,333333;5;0;0
298;0;0;0;0;71300;0;0;0;1,538462;7;0;0
299;0;0;0,002502;0;808535;0;0;0;1,181818;2;0;0
300;1;0;0;0;23000;0;0;0;1,4;4;0;0
301;0;0;0;0;114000;0;0;1;1;0;0;0
302;1;1;0,128;0,5;150000;1;0;0;1;0;0;0
303;0;0;0;0;254000;0;0;0;2,857143;13;0;0
304;0;0;0,014036;0,066667;583366;0;0;1;2;10;0;0
305;0;0;0;0,441176;239600;0;0;0;1,538462;7;0;0
306;0;0;0;0;100000;0;0;0;1,052632;1;0;0
307;0;0;0;0;448000;0;0;0;2;10;0;0
308;0;0;0;0,444444;370895;0;0;0;1;0;0;0
309;0;0;0;0,5;787300;0;0;0;1,083333;1;0;0
310;0;0;0;0;42000;0;0;1;0,5;-10;0;0
311;0;0;0;0;50000;0;0;0;1;0;0;0
312;1;0;0,009449;0,066667;817219;1;0;1;0,7;-3;0;0
313;1;0;0,022238;0,222222;310151;0;0;1;1,375;3;0;0
314;0;0;0;0;409529;0;0;1;1;0;0;0
315;0;0;-1;-1;0;0;0;0;0,5;-10;0;0
316;1;2;0,031438;0,166667;955000;1;0;0;1;0;0;0
317;1;0;0;0,375;267714;0;0;0;1,363636;4;0;0
318;0;0;0,109425;0,2;120000;0;0;0;1;0;0;0
319;0;1;0,016341;0,111111;765124;1;0;0;1;0;0;0
320;0;0;0;0;2000;0;1;1;0,714286;-4;0;0
321;0;0;0;0;395000;0;0;1;2;5;0;0
322;0;0;0;0;2000;0;1;0;1;0;0;0
323;1;1;0,554762;0,166667;21000;1;1;0;1,285714;2;0;0
324;0;0;0,018548;0,5;411139;0;0;0;2;10;0;0
325;0;0;0;-1;5000;0;0;0;1,222222;2;0;0
326;0;0;0,18325;0,066667;24000;0;0;0;1,875;7;0;0
327;0;0;0;-1;27156;0;0;0;0,5;-5;0;0
328;0;0;0;0;278500;0;0;0;2,2;6;0;0
329;0;0;0;0;18000;0;0;0;1;0;0;0
330;0;0;0;0;239000;0;0;0;1,428571;6;0;0
331;0;0;0;0;44220;0;0;0;0,833333;-2;0;0
332;1;1;0,013755;0,153846;1029000;0;0;0;2,714286;12;0;0
333;0;0;0;0;29000;0;0;0;4;15;0;0
334;0;0;-1;0;0;0;0;1;2;5;0;0
335;0;0;0;0;1180138;0;0;0;1,6;6;0;0
336;0;0;0;0;115163;0;0;0;1;0;0;0
337;0;0;0;0;235000;0;0;0;1;0;0;0
338;0;0;0;0;997556;0;0;0;1;0;0;0
339;0;0;0;0;5000;0;0;0;1;0;0;0
340;1;1;-1;1;0;1;1;0;1,1;1;0;0
341;1;0;-1;0;0;0;1;0;2;5;0;0
342;0;0;0;0;1684813;0;0;0;1;0;0;0
343;0;0;-1;-1;0;0;0;0;1,5;5;0;0
344;0;0;0;0;12000;0;0;1;1,818182;9;0;0
345;0;0;0;0;19000;0;0;0;2,4;7;0;0
346;0;0;0;0;180988;0;0;1;3,6;13;0;0
347;1;1;-1;1;0;1;2;0;0,4375;-9;0;0
348;1;0;-1;-1;0;0;0;0;1;0;0;0
349;0;0;0;0;355000;0;0;0;1,3;3;0;0
350;0;0;0;0;30350;0;0;1;1;0;0;0
351;0;0;0;0;210405;0;0;1;2,4;7;0;0
352;0;0;0,315632;0,5;19000;0;0;0;1,428571;3;0;0
353;0;0;0;0;2000;0;1;1;1,666667;4;0;0
354;0;0;0,000003;0,166667;904680;0;0;0;1;0;0;0
355;0;0;0;0,067797;587783;0;0;1;1,857143;6;0;0
356;0;0;0,003325;0,038462;2012000;0;0;0;0,7;-6;0;0
357;0;0;0;0;251000;0;0;0;1,272727;3;0;0
358;0;0;0,13481;0,125;174320;0;0;0;1,6;3;0;0
359;1;-1;1,299545;0,818182;11000;0;0;0;1;0;0;0
360;0;0;0;0;118299;0;0;0;1,625;5;0;0
361;0;0;0;0;104000;0;0;0;0,6;-8;0;1
362;0;0;0,580562;0,416667;32000;0;0;0;1,1;1;0;0
363;0;0;0;0;169040;0;0;1;0,8;-3;0;0
364;1;1;0,15411;0,2;73000;1;0;0;0,533333;-7;0;0
365;1;0;0;0;85945;0;0;0;1;0;0;0
366;0;0;0,000042;0;72000;0;0;1;1;0;0;0
367;0;0;0;0;189803;0;0;0;0,8125;-3;0;0
368;0;0;0;-1;168839;0;0;0;0,833333;-1;0;0
369;0;0;0;0,142857;58000;0;0;1;0,923077;-1;0;1
370;0;0;0;0;278700;0;0;0;1,5;3;0;0
371;1;-1;0;0;126000;-1;0;0;1;0;0;0
372;1;2;0,009024;0,571429;2289000;0;0;1;1,4;2;0;0
373;0;0;0;0,142857;405100;0;0;0;1,666667;6;0;0
374;1;1;-1;1;0;1;2;0;1;0;0;0
375;0;0;0;0;609823;0;0;0;1,666667;6;0;0
376;0;0;-1;0;0;0;0;0;1,333333;5;0;0
377;0;0;0;0;101000;0;0;0;2;10;0;0
378;1;1;-1;1;0;1;1;1;1;0;0;0
379;0;0;0;0;387233;0;0;1;1,8;4;0;0
380;1;0;0;0;2000;0;1;1;0,75;-5;0;0
381;1;0;0;0;151880;0;0;0;0,923077;-1;0;0
382;0;0;0;0,272727;295020;0;0;0;0,555556;-4;0;0
383;0;0;0;0;2000;0;1;0;1;0;0;0
384;0;0;0,004231;0,5;672400;0;0;0;1;0;0;0
385;0;0;0;0;20000;0;0;0;1,25;4;0;0
386;0;0;0;0;128500;0;0;0;1,071429;1;0;0
387;0;0;0;0;27570;0;0;0;2,6;8;0;0
388;0;0;0;0;40000;0;0;1;1,625;5;0;0
389;1;1;0,001713;0,1875;175700;0;0;1;1,25;3;0;0
390;0;0;0;0;256993;0;0;1;4;15;0;0
391;1;1;0,002518;0,25;896169;1;0;0;1;0;0;0
392;0;0;0;0,028571;739856;0;0;1;1,571429;4;0;0
393;0;0;-1;-1;0;0;0;0;0,933333;-1;0;0
394;0;0;0;0;20000;0;0;0;0,416667;-7;0;0
395;0;0;0;-1;15099;0;0;0;0,928571;-1;0;0
396;0;0;0;0;1447600;0;0;0;1,333333;5;0;0
397;0;0;0;0,047619;4763376;0;0;1;1,153846;2;0;0
398;0;1;0,079615;0,125;103624;1;0;0;1;0;0;0
399;0;0;0;0,041667;247378;0;0;1;1;0;0;0
