id;Factor_1;Factor_2;Factor_3;Factor_4;Factor_5;Factor_6;Factor_7;Factor_8;Factor_9;Factor_10;Factor_11;Factor_12
1372;0;0;0;1;1015672;-1;0;0;1,818182;9;0;0
1373;0;0;0;0;161460;0;0;1;1,416667;5;0;0
1374;0;0;0,027609;1;207000;0;0;0;1,461538;6;0;0
1375;0;0;0;0;27797;0;0;1;3;10;0;0
1376;0;0;0;0,083333;35500;0;0;1;3;10;0;0
1377;0;2;0,00995;1;1662038;0;0;0;1;0;0;0
1378;0;0;0;0,125;755055;0;0;0;1,7;7;0;0
1379;1;1;0,054549;0,222222;146785;0;0;1;1;0;0;0
1380;0;0;0;0;482000;0;0;1;1,666667;8;0;0
1381;0;0;0;0;296680;0;0;0;1,538462;7;0;0
1382;1;0;0;0,25;30000;0;0;0;2;10;0;0
1383;0;0;0,024078;0;746649;0;0;0;3,333333;14;0;0
1384;1;0;-1;0;0;0;1;0;0,428571;-8;0;0
1385;0;0;-1;0;0;0;2;0;1;0;0;0
1386;0;0;0,06998;0,6;255000;0;0;0;2,8;9;0;0
1387;0;0;0;0,3;1479751;-1;0;1;1,4;4;0;0
1388;1;1;0,080383;0,833333;180000;0;0;0;1,428571;6;0;0
1389;0;0;0,000448;0,1;1019738;0;0;1;1;0;0;0
1390;0;0;0;0,2;386000;0;0;1;1;0;0;0
1391;1;3;0,097168;0,136364;149000;1;0;0;1,875;7;0;0
1392;0;0;-1;0;0;0;1;0;1;0;0;0
1393;0;1;0,011005;0,038462;1868742;1;0;1;1,428571;6;0;0
1394;1;0;0;0;39440;0;0;0;1;0;0;0
1395;0;0;-1;0;0;0;1;0;1,461538;6;0;0
1396;0;0;0;0;5441;0;0;0;1,538462;7;0;0
1397;1;1;0;0,08;123940;0;0;0;0,428571;-8;0;0
1398;0;0;0;0;375920;0;0;1;2,8;9;0;1
1399;0;0;-1;-1;0;0;0;0;1,428571;3;0;0
1400;1;1;0;0,083333;83000;0;0;1;1;0;0;0
1401;1;5;-1;1;0;0;2;0;1,714286;5;0;0
1402;1;0;0,005238;0;42000;1;0;0;1;0;0;0
1403;0;0;0;0;16500;0;0;1;0,625;-6;0;0
1404;0;0;0;0;3500;0;1;0;1;0;0;0
1405;1;0;0;0,333333;174681;0;0;0;1,333333;5;0;0
1406;0;0;-1;0;0;0;0;1;2;10;0;0
1407;0;0;0;0,083333;575773;0;0;1;2,5;12;0;0
1408;0;0;0;0;205866;0;0;1;1;0;0;0
1409;0;0;0,04754;0,583333;251600;0;0;1;1,333333;5;0;0
1410;1;2;0,383866;1;71400;0;0;1;1,384615;5;0;0
1411;1;1;0,046916;0,411765;366060;0;0;0;1;0;0;0
1412;0;0;0,009145;0,333333;262000;1;0;0;1;0;0;0
1413;0;0;0,108628;0;31990;0;0;1;1,538462;7;0;0
1414;1;0;0;0;521600;0;0;1;2,5;12;0;0
1415;0;0;0;0;895428;0;0;1;1,333333;5;0;0
1416;0;0;0;0;690000;0;0;0;1;0;0;0
1417;0;0;0;0,192308;411683;0;0;1;2;10;0;0
1418;0;0;0;0;1430368;0;0;1;2;8;0;0
1419;0;0;8,565;1;4000;0;0;0;2;10;0;0
1420;1;1;0;0,1;162400;0;0;1;0,8;-4;0;0
1421;0;0;0;0;440600;0;0;1;0,7;-3;0;0
1422;1;0;0,056728;0,4;158475;0;0;0;1;0;0;0
1423;0;0;0;0;2000;0;1;0;1;0;0;0
1424;0;0;0;0,058824;356032;0;0;1;3,4;12;0;0
1425;0;0;0;0;244000;0;0;1;1,222222;2;0;0
1426;0;0;0;0,25;827500;0;0;1;1,052632;1;0;0
1427;0;0;0,066772;0,125;470677;0;0;1;1,4;4;0;0
1428;0;0;0,017954;0;270140;1;0;1;1,066667;1;0;0
1429;1;2;0;1;17286;0;3;0;1;0;0;0
1430;0;0;0;0;25000;0;0;1;1;0;0;0
1431;0;0;0,429853;0;34000;0;0;1;4;15;0;0
1432;1;4;0;1;4000;4;0;0;1;0;0;0
1433;0;0;0;0;10000;0;0;1;1;0;0;0
1434;0;0;0,02424;4;91998;0;0;1;1;0;0;0
1435;1;0;0,020981;0,037037;260953;0;0;1;1;0;0;0
1436;0;1;0,284924;0,125;65256;1;0;0;1,1875;3;0;0
1437;1;0;-1;0;0;0;2;0;1;0;0;0
1438;0;0;0;0;692225;0;0;1;1;0;0;0
1439;1;5;0;0,461538;54000;0;0;0;1;0;0;0
1440;0;0;0;0;7500;0;0;1;1,2;2;0;0
1441;0;0;0;0;945551;0;0;0;1,230769;3;0;0
1442;0;0;0;0;16000;0;0;0;1;0;0;0
1443;0;0;0;0,4;808982;0;0;1;2,857143;13;0;0
1444;1;2;0;0,5;787200;0;0;0;1;0;0;0
1445;0;0;0;0;442243;1;0;0;1,538462;7;0;0
1446;1;1;-1;1;0;0;3;0;1,071429;1;0;0
1447;0;0;0,005771;0,2;136200;0;0;0;1,818182;9;0;0
1448;0;0;-1;-1;0;0;0;1;1;0;0;0
1449;1;7;0,060226;0,411765;176469;1;0;0;1;0;0;0
1450;0;0;0;0;24600;0;0;1;2,2;6;0;0
1451;0;0;0,001012;0,142857;1159000;1;0;0;0,5;-10;0;0
1452;0;0;0,002782;0,055556;3244598;1;0;0;1;0;0;0
1453;0;0;0,015224;0;517409;0;0;1;1;0;0;0
1454;0;0;0;0;4000;0;0;0;2,2;6;0;0
1455;0;0;0,006588;0,090909;663593;0;0;1;1,538462;7;0;0
1456;1;10;0;0,842105;40000;-1;0;1;1;0;2;0
1457;0;1;0,059266;0,097561;376200;1;0;0;1;0;0;0
1458;0;0;-1;0;0;0;1;0;1,666667;8;0;0
1459;1;0;0,015077;0,8;425879;0;0;0;3;10;0;0
1460;0;0;0;0;18890;0;0;0;1,214286;3;0;0
1461;1;0;0;0;155000;0;0;1;0,714286;-4;0;1
1462;0;1;0,076928;0,2;129978;1;0;1;2,6;8;0;0
1463;0;0;0;0;20000;0;0;0;1,7;7;0;0
1464;1;3;0,912529;0,75;21310;1;0;0;1;0;0;0
1465;0;0;0;0;12000;0;0;0;1,333333;4;0;0
1466;0;0;0,000703;0;1320323;0;0;1;1;0;0;0
1467;1;2;0,024666;0,666667;487236;0;0;0;0,8;-4;0;0
1468;1;3;-1;0,571429;0;1;0;1;1;0;0;0
1469;0;0;0,08433;0,083333;51500;0;0;1;1;0;0;0
1470;0;0;0;0,044776;1012716;0;0;0;1,6;3;0;0
1471;0;0;0;0;1039000;0;0;0;1;0;0;0
1472;0;0;0;0;40000;0;0;0;0,846154;-2;0;0
1473;0;0;0,035806;0,333333;781259;0;0;1;4;15;0;0
1474;0;0;0;0;107000;0;0;1;0,9375;-1;0;0
1475;0;0;-1;-1;0;0;0;0;1;0;0;0
1476;0;0;0;0;13000;0;0;0;1,071429;1;0;0
1477;0;0;0;0;950000;0;0;0;1;0;0;0
1478;0;0;1,120667;0,041667;15000;0;0;1;1,4;2;0;0
1479;0;0;1,8758;0,4;5000;0;0;0;1,818182;9;0;0
1480;1;1;0,006652;0,2;602252;0;0;1;1,307692;4;0;0
1481;1;1;0,37;0,333333;8000;1;1;0;1,666667;8;0;0
1482;0;2;0,015702;0,05;1144969;0;-54;0;0,5;-5;0;0
1483;0;0;0;0;152092;0;0;1;2,6;8;0;0
1484;1;6;0;1,2;4000;0;0;1;0,8;-4;0;0
1485;0;0;0;0;103000;0;0;1;1;0;0;0
1486;0;0;-1;-1;0;0;0;0;0,75;-4;0;0
1487;1;0;0,00277;1;1126197;0;0;1;1,333333;5;0;0
1488;1;0;0;0;2000;0;2;1;1,181818;2;0;0
1489;1;0;0,017613;0;248900;1;0;1;0,357143;-9;0;0
1490;1;0;0;1,333333;65339;0;0;0;0,615385;-5;0;0
1491;0;0;0;0,142857;780519;0;0;1;1,214286;3;0;0
1492;1;4;0,081204;0,235294;226000;1;0;0;2;7;0;0
1493;0;0;0;0;1011085;0;0;1;1;0;0;0
1494;0;0;0;0;430815;0;0;1;0,5;-5;0;0
1495;0;0;0;0;26990;0;0;1;2;5;0;0
1496;0;0;0;0;8000;0;0;1;0,625;-3;0;0
1497;0;0;0;0;6000;0;0;0;1,3;3;0;0
1498;0;0;0,027301;0,09375;1941277;0;0;1;1,5;5;0;0
1499;0;0;0;0;136605;0;0;1;2;10;0;0
1500;0;0;0;0;68000;0;0;1;1,4;2;0;0
1501;1;0;0,051536;0,5;371000;1;0;0;1;0;0;0
1502;0;0;0;0;4000;0;0;0;1,461538;6;0;0
1503;0;0;0;0;294800;0;0;1;1,428571;6;0;0
1504;0;0;-1;0;0;0;1;0;1,9;9;0;0
1505;1;1;-1;0,166667;0;0;0;1;2;10;0;0
1506;0;0;0;0;10000;0;0;0;1,416667;5;0;0
1507;0;0;-1;0;0;0;0;1;2;5;0;0
1508;0;0;0,005189;0,090909;2635166;0;0;1;2,5;12;0;0
1509;1;2;0,289609;0,166667;90553;1;0;0;1;0;0;0
1510;0;1;0,113751;0,2;138153;0;0;1;1,230769;3;0;0
1511;1;2;0;0,666667;6000;0;0;0;1,888889;8;0;0
1512;0;0;0;0;59000;0;0;1;0,8;-2;0;0
1513;0;0;0;0;31000;0;0;1;1;0;0;0
1514;0;1;0;0,1;618000;0;1;0;2;10;0;0
1515;0;0;0;0,25;1352825;-1;0;1;0,714286;-2;3;0
1516;0;0;0;0;1080602;0;0;0;1,538462;7;0;0
1517;0;0;0,182073;0,333333;23150;0;0;1;2;7;0;0
1518;0;0;0;0;747252;0;0;0;0,769231;-3;0;0
1519;1;0;0,058704;0,363636;54000;0;0;1;2,25;10;0;0
1520;0;1;0;0,153846;251000;-1;0;0;1,1;1;0;0
1521;0;0;0,257283;1;30344;0;0;0;0,769231;-3;0;0
1522;1;1;0,02938;0,5;216000;1;1;0;2,142857;8;0;0
1523;1;1;0,176994;0,416667;134547;1;0;1;1,75;6;0;0
1524;0;0;0;0;328240;0;0;1;1;0;0;0
1525;0;0;0;0;3210147;0;0;0;1,333333;5;0;0
1526;1;2;0;0,25;277430;0;0;1;1;0;0;0
1527;0;0;0,00864;0,166667;287160;0;0;1;1,2;2;0;0
1528;0;1;0,022151;0,142857;298000;0;0;1;1;0;0;0
1529;1;0;-1;0;0;0;0;0;0,714286;-4;0;0
1530;0;0;0;0;142100;0;0;1;1;0;0;0
1531;0;0;0;0;551667;0;0;1;2;10;0;0
1532;0;0;0;0,130435;179240;0;0;1;2;5;0;1
1533;0;0;0;0;1377650;0;0;1;1,538462;7;0;0
1534;1;2;0;2;20000;0;5;0;1,571429;4;0;0
1535;0;0;-1;-1;0;0;0;0;1,461538;6;0;0
1536;0;0;-1;0;0;0;1;0;0,5;-5;0;0
1537;0;0;0;0;155929;0;0;1;1,555556;5;0;0
1538;0;0;0;0;384370;-1;0;1;1,5;4;0;0
1539;0;0;0;0;387060;0;0;1;1,428571;6;0;0
1540;0;0;0;0;937105;-1;0;1;0,928571;-1;0;0
1541;0;0;0;0,071429;1680654;0;0;1;0,769231;-3;0;0
1542;0;0;0;0,285714;107678;0;0;0;1,052632;1;0;0
1543;0;1;0,173259;0,076923;170000;1;0;0;1,4;2;0;0
1544;0;0;0;0;1062075;1;0;1;1,111111;2;0;0
1545;1;0;0;0;365324;0;0;1;1;0;0;0
1546;1;2;-1;2;0;0;3;0;1,166667;2;0;0
1547;0;0;0;0,105263;630943;0;0;1;1;0;0;0
1548;0;0;0;0;1896598;0;0;1;2,833333;11;0;0
1549;0;0;0;0;268300;0;0;1;3;10;0;0
1550;0;0;-1;0;0;0;1;0;1;0;0;0
1551;0;0;0;0;628869;0;0;0;1;0;0;0
1552;0;0;-1;0;0;0;1;0;1,538462;7;0;0
1553;0;0;0;0;123100;0;0;1;0,692308;-4;0;0
1554;0;0;0;0;84000;0;0;1;0,875;-2;0;0
1555;0;0;0,057325;0;184474;0;0;0;1;0;0;0
1556;0;0;0;0,2;456960;1;0;0;1;0;0;0
1557;0;0;0,000607;0;334162;0;0;1;1,357143;5;0;0
1558;1;1;-1;1;0;0;3;0;2,857143;13;0;0
1559;1;3;-1;1,333333;0;0;0;0;1,333333;5;0;0
1560;0;0;0;0;9810;0;0;1;1,8;4;0;0
1561;1;0;-1;0;0;0;0;1;0,846154;-2;0;0
1562;0;0;0,027629;0,272727;116000;1;0;1;1;0;0;0
1563;0;0;0;0,166667;43244;0;0;0;2,6;8;0;1
1564;0;0;0;0;46000;0;0;1;2;9;0;0
1565;0;0;0;0;589960;0;0;1;1,176471;3;0;1
1566;0;0;0;0;212990;0;0;1;0,95;-1;0;0
1567;0;0;-1;0;0;0;0;0;1,285714;2;0;0
1568;0;0;0;0;67099;0;0;1;2,857143;13;0;0
1569;0;0;0,0043;0,181818;465148;0;0;1;1,181818;2;0;0
1570;0;0;0;0;77600;0;0;1;1;0;0;0
1571;0;0;0;0;72500;0;0;1;1;0;0;0
1572;1;0;0,057686;0,571429;35000;0;0;0;1,666667;8;0;0
1573;0;0;0,016276;0,133333;519787;0;0;1;2,222222;11;0;0
1574;0;0;0;0;216500;0;0;0;1,25;4;0;0
1575;0;-1;0,003427;0,117647;523170;0;0;0;1,818182;9;0;0
1576;0;0;0;0;251000;0;0;1;1,538462;7;0;0
1577;0;0;0;0,086957;543301;0;0;1;1;0;0;0
1578;0;0;0;0;274648;0;0;0;1;0;0;0
1579;0;0;0;0;737993;0;0;1;0,846154;-2;0;0
1580;1;0;0;0;6943011;0;0;1;1;0;0;0
1581;0;0;0;0;424213;0;0;1;2,857143;13;0;1
1582;0;0;0;0;35000;0;0;0;1,176471;3;0;0
1583;0;0;0;0;52073;0;0;1;1,538462;7;0;0
1584;0;8;0,002427;0,909091;27608;4;0;0;0,65;-7;0;0
1585;0;0;0;0;169100;0;0;1;1;0;0;0
1586;0;0;0;0,1;689994;0;0;1;1;0;0;0
1587;0;0;0;0;35000;0;0;1;1,538462;7;0;0
1588;0;0;0;0;4773668;0;0;0;1,666667;8;0;0
1589;0;0;-1;0;0;0;1;0;1,230769;3;0;0
1590;0;0;0;0,333333;467300;0;0;1;1,2;1;0;0
1591;0;0;0;0;5000;0;0;1;4;15;0;0
1592;0;0;0;0;7000;0;0;1;1;0;0;0
1593;0;0;0;0,190476;244500;0;0;0;1,538462;7;0;0
1594;0;0;0;0;98430;0;0;1;1;0;0;0
1595;1;1;0;0,333333;563488;1;0;0;0,8;-3;1;0
1596;0;3;0;1,125;130205;1;0;0;0,5;-10;1;0
1597;0;0;0;0,1;1110185;0;0;1;4;15;0;0
1598;0;0;0;0;340000;0;0;0;1,333333;5;0;0
1599;0;0;0,038;0,5;11000;0;0;0;4;15;0;0
1600;1;1;0,12;0,4;120000;0;0;0;1;0;0;0
1601;0;0;0;0;384664;0;0;1;1;0;0;0
1602;0;1;0,011347;0,133333;745600;1;0;1;1,2;1;0;0
1603;0;0;0;0;116000;0;0;1;1,818182;9;0;0
1604;1;0;0;0;38000;0;0;1;1,083333;1;0;0
1605;1;0;-1;0;0;0;1;1;0,35;-13;0;0
1606;0;0;0;0;3360000;0;0;0;1,538462;7;0;0
1607;0;0;0;0;130100;0;0;1;3,333333;14;0;0
1608;0;0;0;0,222222;827997;0;0;1;0,923077;-1;0;0
1609;0;0;0;0;1856553;0;0;1;1;0;0;0
1610;0;0;0;0;56000;0;0;0;1,055556;1;0;0
1611;1;1;-1;1;0;1;2;1;1,75;6;0;0
1612;0;1;-1;1;0;1;1;0;1,076923;1;0;0
1613;0;0;0,118105;0,272727;171500;0;0;1;0,769231;-3;0;0
1614;0;0;0;0,052632;111010;0;0;0;0,846154;-2;0;0
1615;0;0;0;0;732164;0;0;1;0,833333;-1;0;0
1616;1;0;0;0;55740;0;0;0;4;15;0;0
1617;0;0;0,000013;0;225500;0;0;0;2,8;9;0;0
1618;0;0;0;0,230769;1100350;0;0;1;2,222222;11;0;0
1619;0;-1;0,070501;0,181818;337500;0;0;1;1;0;0;0
1620;0;0;0;0;640144;-1;0;0;0,3125;-11;0;0
1621;1;2;0;1;5000;0;3;0;1,333333;5;0;0
1622;1;0;0;0,6;197391;0;0;0;1,538462;7;0;0
1623;0;0;0;0;602786;0;0;1;1;0;0;0
1624;0;0;-1;0;0;0;0;1;0,833333;-2;0;0
1625;0;0;0;0,5;365232;-1;0;0;1,538462;7;0;0
1626;1;1;-1;1;0;0;3;0;1,666667;8;0;0
1627;0;1;0;0,111111;239420;0;1;0;1;0;0;0
1628;0;0;0;0;3424111;-1;0;1;1,176471;3;0;0
1629;0;0;0;0;974506;0;0;1;1,153846;2;0;0
1630;0;0;-1;0;0;0;0;0;0,5;-5;0;0
1631;0;0;0;0;3000;0;0;1;2;10;0;0
1632;0;0;0;0,142857;492273;1;0;1;1,3;3;0;0
1633;0;0;0;0;14000;0;0;1;1,428571;6;0;0
1634;0;4;0;0,333333;19250;0;1;0;0,5;-10;0;0
1635;1;0;0,020547;0,076923;428000;0;0;0;0,818182;-2;0;0
1636;0;0;0;0;7500;0;0;1;1;0;0;0
1637;0;0;0;0;5389233;0;0;0;1;0;0;1
1638;1;0;-1;0;0;0;2;0;1;0;0;0
1639;0;0;0;0;364469;0;0;1;4;15;0;0
1640;0;0;0,009167;0,0625;714409;0;0;1;1,538462;7;0;0
1641;0;0;0;0,25;24570;0;0;0;1,9;9;0;0
1642;1;0;0;0;313000;1;0;1;1,428571;6;0;0
1643;0;0;-1;0,266667;0;0;0;0;1,176471;3;0;0
1644;0;0;0;0;30000;0;1;0;1,333333;3;0;0
1645;0;0;2,653;0;25000;1;1;0;1,428571;6;0;0
1646;1;1;-1;0,333333;0;0;0;1;1;0;0;0
1647;1;1;0,069677;0,333333;155000;1;0;1;0,45;-11;0;0
1648;0;0;0;0;19000;0;0;1;1;0;0;0
1649;0;0;0,035814;0,166667;2299378;0;0;0;1,285714;4;0;0
1650;0;1;0,013458;0,029412;1705304;0;0;0;1,428571;6;0;0
1651;0;0;0;0;7500;0;1;0;0,5;-10;0;0
1652;0;0;0;0;640525;0;0;1;1,4;2;0;0
1653;0;1;0,153544;0,045455;103000;1;0;1;1,142857;1;0;0
1654;1;0;0,000009;0,142857;352000;0;0;1;1;0;0;0
1655;0;0;0;0;30461;0;0;0;1;0;0;0
1656;0;0;-1;0;0;0;3;0;1;0;0;0
1657;1;0;0;0;10000;0;0;0;1,230769;3;0;0
1658;0;0;0,002683;0,375;2451570;0;0;1;0,857143;-1;0;0
1659;1;0;0,00337;0;135000;0;0;0;1,538462;7;0;0
1660;0;0;0;0;44750;0;0;1;1;0;0;0
1661;0;0;0;0;39000;0;0;0;0,571429;-6;0;0
1662;0;0;0,008886;0;2010220;0;0;0;1;0;1;0
1663;0;0;0;0;59650;0;0;1;3,2;11;0;0
1664;0;0;0,007069;0;990184;1;0;1;0,5625;-7;0;0
1665;1;1;0;0,363636;406560;-1;0;0;0,9;-2;0;0
1666;0;0;0;0;14000;0;0;1;2,6;8;0;0
1667;0;0;0;0;11240;0;0;0;0,666667;-5;0;1
1668;0;0;0;0,055556;523511;0;0;1;1;0;0;0
1669;0;0;0;0;540436;0;0;1;1,538462;7;0;0
1670;0;0;0,033833;0,333333;30000;0;0;0;1;0;0;0
1671;1;1;-1;1;0;0;3;0;2,5;12;0;0
1672;0;0;0;0;15000;0;0;0;2;5;0;0
1673;0;1;0,041957;0,1;409940;1;0;0;1;0;0;0
1674;0;0;0;0;112535;0;0;1;1,052632;1;0;0
1675;0;0;0;0;510000;0;0;0;1,153846;2;0;0
1676;0;0;0;0;194000;0;0;1;1,555556;5;0;0
1677;0;0;0;0;9000;0;0;1;1;0;0;0
1678;0;0;0;0;185000;0;0;1;1;0;0;0
1679;0;0;0;0;488069;0;0;0;1,538462;7;0;0
1680;0;0;0;0;1192000;-1;0;1;1,333333;5;0;0
1681;0;1;0,050678;0,7;409922;0;0;1;3,2;11;0;0
1682;0;0;-1;0;0;0;0;0;4;15;0;0
1683;1;3;0;1;74000;2;1;0;1;0;0;0
1684;1;1;-1;0,25;0;1;0;0;0,277778;-13;0;0
1685;1;0;0;0;1105024;0;0;1;1,214286;3;0;0
1686;1;2;0,63688;0,222222;33460;1;0;1;2,833333;11;0;0
1687;0;0;0;0;56000;0;0;0;1,384615;5;0;0
1688;1;0;0;0;23280;0;0;0;0,95;-1;0;0
1689;0;0;0,022199;0;472000;0;0;1;0,388889;-11;0;0
1690;0;0;0,052792;0,179487;644168;0;0;1;1;0;0;0
1691;0;0;0;0;1154960;0;0;1;1,428571;6;0;0
1692;0;0;0;0,133333;480175;1;0;1;1;0;0;0
1693;1;1;0,000085;0,272727;247000;2;0;1;0,5;-5;1;0
1694;0;0;0,002655;0,8;370600;0;0;1;1;0;0;0
1695;0;0;0;0;196980;0;0;0;0,545455;-5;0;0
1696;0;0;-1;0;0;1;0;0;1,285714;2;0;0
1697;0;0;0;0;4500;0;0;0;1;0;0;0
1698;0;0;-1;0;0;0;0;0;2,8;9;0;0
1699;0;0;-1;-1;0;0;0;1;2,222222;11;0;0
1700;0;0;-1;0;0;0;0;0;0,666667;-5;0;0
1701;0;0;0;0;200000;0;0;0;0,384615;-8;0;0
1702;0;0;0;0,090909;279538;0;0;1;1,538462;7;0;0
1703;0;0;0;0;212936;0;0;0;3,2;11;0;0
1704;1;4;0;2,666667;15000;0;0;0;1,25;4;0;0
1705;1;0;0;0;149000;0;0;1;1;0;0;0
1706;0;0;0;0;61682;0;0;1;0,384615;-8;0;0
1707;0;1;0,053792;0,052632;152550;1;0;0;2,222222;11;0;0
1708;1;0;0;0;24000;0;0;0;0,789474;-4;0;0
1709;0;0;0,024832;0,047619;794858;0;0;1;1;0;0;0
1710;0;0;0;0;884596;0;0;1;1;0;0;0
1711;0;0;0;0;1500060;0;0;1;1;0;0;0
1712;0;0;-1;0;0;0;0;1;2;5;0;0
1713;0;0;0,053961;0,2;408000;0;0;0;1,166667;2;0;0
1714;0;0;0;0;73000;0;0;1;1,4;4;0;0
1715;0;0;0;1,125;5000;0;0;0;0,416667;-7;0;0
1716;0;1;0,053821;0,125;483249;1;0;1;2,8;9;0;0
1717;0;0;0;0;9489;0;1;0;0,5;-10;0;0
1718;0;0;0;0;76000;0;0;1;0,45;-11;0;0
1719;0;0;0,1165;0,5;20000;0;0;0;1,2;3;0;0
1720;0;0;0;0;5000;0;0;0;0,454545;-6;0;0
1721;0;0;0;0;166500;0;0;0;0,923077;-1;0;0
1722;1;1;-1;1;0;0;3;0;0,8;-3;0;0
1723;1;0;0;0,052632;773459;0;0;1;4;15;0;0
1724;0;0;0;0;100000;0;1;0;0,923077;-1;0;0
1725;0;0;0;0;47500;0;0;0;1,25;4;0;0
1726;0;0;0,000039;0,166667;2111913;0;0;1;0,555556;-4;0;0
1727;0;0;0;0;81180;0;0;0;1,176471;3;0;0
1728;1;1;-1;0,5;0;0;3;1;1;0;0;0
1729;1;1;0,129431;0,1;51000;1;0;1;0,6;-8;0;0
1730;0;0;0;0;4549900;0;0;1;1,538462;7;0;0
1731;0;0;0;0;1106415;0;0;0;1,538462;7;0;0
1732;0;0;0;0;287512;0;0;0;1,076923;1;0;0
1733;0;0;0;0;51648;0;0;1;0,7;-3;0;0
1734;0;0;0;0,5;30000;0;0;0;1;0;0;0
1735;0;0;0;0;298460;0;0;1;1,071429;1;0;0
1736;0;0;0;0,125;422000;0;0;1;2,857143;13;0;0
1737;0;0;0;0;762708;0;0;0;0,769231;-3;0;0
1738;1;0;0,002844;0;2741810;0;0;0;0,842105;-3;0;0
1739;0;0;0;0,071429;847662;0;0;1;1;0;0;0
1740;0;0;0,007005;0,0625;839880;1;0;1;1,266667;4;0;0
1741;0;0;0;0;859510;-1;0;1;1;0;0;0
1742;0;0;0;0;148390;0;0;1;1,333333;5;0;0
1743;1;0;0;0;706108;0;0;0;1;0;0;0
1744;0;0;0;0;26590;0;0;1;2,142857;8;0;0
1745;0;0;0;0;1684847;0;0;1;0,888889;-1;0;0
1746;1;0;0;0;134000;0;0;0;1;0;0;0
1747;0;0;0;0,166667;281297;-1;0;1;1,230769;3;0;0
1748;1;-1;0,029099;0,08;298500;-1;0;1;1;0;0;0
1749;1;7;0;1,428571;65500;-1;3;1;0,866667;-2;0;0
1750;0;0;0;0;693457;0;0;1;1,7;7;0;0
1751;1;0;0;0;14800;0;0;0;1;0;0;0
1752;0;0;0;0;1794348;0;0;0;0,75;-4;0;0
1753;0;0;0,000005;0,142857;416000;0;0;1;1,571429;4;0;0
1754;0;0;0,001863;0,428571;867000;0;0;1;2,4;7;0;0
1755;1;0;0;0,105263;1379378;0;0;1;1,266667;4;0;0
1756;0;0;0,016796;0;1438408;0;0;1;2;10;0;0
1757;0;0;0;0;10990;0;0;0;1;0;0;0
1758;0;0;0;0;15932695;0;0;0;1;0;0;0
1759;0;0;0;0;816947;-1;0;1;1;0;0;0
1760;0;0;0;0;1371066;0;0;1;0,411765;-10;0;0
1761;0;0;0;0;34000;0;0;0;2,285714;9;0;0
1762;0;0;0;0;313729;0;0;1;1,142857;1;0;0
1763;1;1;0,009944;0,166667;884616;1;0;0;1,071429;1;0;0
1764;0;0;0;0;43000;0;0;1;1,666667;6;0;0
1765;1;7;0;1;200000;0;0;0;1;0;0;0
1766;0;0;0,001593;0,125;528670;0;0;1;1,538462;7;0;0
1767;0;0;0;0;278500;0;0;1;0,857143;-2;0;0
1768;0;0;0,05858;0,066667;3333689;0;0;1;1,4;2;0;0
1769;0;0;0;0,125;65000;0;0;1;1,5;5;0;0
1770;0;0;0,008082;0,8;1029492;0;0;0;3;10;0;0
1771;0;0;0;0;364827;0;0;0;1;0;0;0
1772;1;0;0,012965;0;346000;1;0;1;1;0;0;0
1773;0;0;0;0;134683;0;0;1;0,846154;-2;0;0
1774;0;0;0;0;128000;0;0;1;1,5;5;0;0
1775;0;0;0;0;715834;0;0;0;1,428571;3;0;0
1776;0;0;0;0;200000;0;0;0;1,2;1;0;0
1777;0;0;0;0;3193800;0;0;1;1,538462;7;0;0
1778;0;0;0;0,333333;218400;0;0;1;1,428571;3;0;0
1779;0;0;0,005425;0,090909;500460;0;0;1;2;5;0;0
1780;0;0;0;0;37500;0;0;1;1,333333;5;0;0
1781;1;0;0;0;89500;0;0;1;1;0;0;0
1782;0;0;0;0;54436;0;0;0;0,833333;-1;0;0
1783;0;0;0;0;140500;0;0;0;3;12;0;0
1784;0;0;0;0;65246;0;0;1;1,538462;7;0;0
1785;0;0;0;0,4;2018193;1;0;1;1,4;4;0;0
1786;0;0;0;0;615270;0;0;1;1,428571;6;0;0
1787;0;0;0;0;154600;0;0;1;1,230769;3;0;0
1788;0;0;0;0;333452;0;0;1;1,052632;1;0;0
1789;0;0;0;0;272000;0;0;1;1,333333;5;0;0
1790;0;0;0;0,222222;566021;0;0;0;0,769231;-3;0;0
1791;1;10;0;1,333333;7800;0;0;0;1,666667;8;0;0
1792;0;1;0;0,5;258400;0;0;0;0,857143;-2;0;0
1793;0;0;0;0;378960;0;0;1;1;0;0;0
1794;0;0;0;0,125;639280;0;0;1;0,875;-1;0;0
1795;0;0;0,000145;0;248000;0;0;1;1;0;0;0
1796;0;0;0,042766;0,4;47000;0;0;1;2,4;7;0;0
1797;0;0;0,036652;0,15;369452;0;0;0;0,833333;-1;0;0
1798;0;0;0;0;280200;0;0;1;1,2;1;0;0
1799;1;1;0,026201;0,166667;412194;1;0;1;1;0;0;0
1800;0;0;0,00137;1;1231876;0;0;0;0,5;-7;0;0
1801;0;0;-1;-1;0;0;0;0;2;5;0;0
1802;0;0;0;0;114000;0;0;0;1,538462;7;0;0
1803;0;0;0;0;210000;0;0;1;0,555556;-4;0;0
1804;0;0;0,112012;0,285714;331037;0;0;1;1,538462;7;0;0
1805;0;0;0;0;14835;0;0;0;1;0;0;0
1806;0;0;0,001548;0;1026525;0;0;1;1,538462;7;0;0
1807;0;0;-1;0;0;0;0;1;4;15;0;0
